#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:19:33,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.91872e-07,445,4.76877e-11,-2.04299e-20,-2.22708e-19,1.55047e-15,-1.85645e-20,-2.41273e-19,10,12,45,50,10.24,43.91,48.12,4.125,4.22222,4.20875,4.20889
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:19:47,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.9004e-07,445,4.76877e-11,-1.09693e-20,-2.56332e-19,1.54788e-15,-2.16296e-20,-2.77961e-19,10,14,55,60,12.36,53.58,58.9,5.125,5.11111,5.1525,5.17111
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:21:31,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06583e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90137e-07,445,4.76877e-11,-2.17178e-20,-1.90271e-19,1.54803e-15,-1.69457e-20,-2.07217e-19,10,10,44,48,9.49,42.94,47.14,4.25,4.22222,4.18125,4.18333
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:13:29,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90093e-07,445,4.76877e-11,-1.765e-20,-2.0025e-19,1.54796e-15,-1.36429e-20,-2.13893e-19,10,10,41,45,9.61,40.02,43.82,3.875,3.88889,3.80125,3.80111
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:15:56,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90363e-07,445,4.76877e-11,-1.2756e-20,-1.4628e-19,1.54834e-15,-2.01314e-20,-1.66412e-19,10,12,50,55,10.83,48.73,53.62,4.75,4.77778,4.7375,4.75444
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:16:13,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.89279e-07,445,4.76877e-11,-1.95853e-20,-2.04298e-19,1.54679e-15,-1.33468e-20,-2.17645e-19,10,10,41,44,8.85,38.99,42.78,3.875,3.77778,3.7675,3.77
mpi_00256-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:16:24,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.9076e-07,445,4.76877e-11,-1.75149e-20,-1.89726e-19,1.54891e-15,-1.61071e-20,-2.05833e-19,10,13,54,59,12.28,52.75,57.82,5.125,5.11111,5.05875,5.06
mpi_00256-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:17:19,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90714e-07,445,4.76877e-11,-1.22469e-20,-1.70048e-19,1.54884e-15,-1.44421e-20,-1.8449e-19,10,16,66,72,14.25,64.04,70.37,6.25,6.22222,6.22375,6.23556
mpi_00256-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:19:09,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.88381e-07,445,4.76877e-11,-1.96559e-20,-1.52982e-19,1.54553e-15,-1.45153e-20,-1.67497e-19,10,13,53,58,11.78,52.09,57.16,5,5,5.03875,5.04222
mpi_00512-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:27:28,16,512,0.454204,0.458642,0.016723,8.93756e-07,3,0.127075,8.94776e-06,4,0.118523,4.1473e-06,4,0.757239,0.035605,9,0.763252,9.85651e-07,426,6.05516e-11,-6.33411e-21,-3.76216e-19,1.77948e-15,-1.30411e-21,-3.7752e-19,10,5,20,21,4.33,18.42,20.09,1.875,1.77778,1.76125,1.75111
